"geogid","geog","lat","lon"
"57030028","Don Quickset","16 06.201","-86 58.688"
"57030029","Airport Caves","16 05.150","-86 53.417"
"57030030","West End","16 05.650","-86 59.350"
"57030031","Rocky Point (east) #73","16 05.401","-86 52.882"
"57030032","Pinnacle(s) (N. Shore)","16 06.876","-86 56.841"
"57030033","WP042801","16 06.44","-86 52.48"
"57030034","WP042802","16 05.39","-86 52.92"
"57030035","WP042803","16 05.09","-86 53.54"
"57030036","WP042804","16 03.76","-86 57.51"
"57030037","WP042805","16 04.31","-86 57.03"
"57030038","WP042806","16 04.96","-86 55.12"
"57030039","WP042907","16 07.32","-86 54.88"
"57030040","WP042908","16 06.82","-86 56.90"
"57030041","Halliburton Wreck","16 05.083","-86 53.817
"
"57030042","Ron's Wreck","16 05.116","-86 53.692"
"57030043","Madeliene",NULL,NULL
"57030044","Iron Shore",NULL,NULL
"57030046","Blue Bayou","16 05.367","-86 54.467
"
"57030047","Mitchell's Point","16 04.625","-86 56.035
"
"57030048","Little Rock",NULL,NULL
"57030049","Utila Bay Lodge",NULL,NULL
"57030050","Janet's Seamount",NULL,NULL
"57030067","Iron Bound","16 07.433","-86 53.850"
"57030052","Salmandina",NULL,NULL
"57030053","Rock Harbor Caverns",NULL,NULL
"5704","Guanaja",NULL,NULL
"57040001","Jado Trader","16 24.43","-85 51.90"
"57040002","Jim's Silver Lode","16 24.20","-85 52.83"
"57040003","Bonacca",NULL,NULL
"57040004","Marta's Wall",NULL,NULL
"57040005","Vertigo","16 23.70","-85 53.44"
"57040006","Pinnacle","16 27.82","-85 56.79"
"57040007","Bayman Bay Drop","16 28.23","-85 55.21"
"57040008","Black Rock Canyon/Sand Canyon","16 29.82","-85 54.20"
"57040009","Devil's Cauldron",NULL,NULL
"57040010","Rainbow Reef","16 24.64","-85 52.91"
"57040011","Fantasy Reef","16 27.83","-85 55.83"
"57040012","Lees Pleasure","16 24.40","-85 53.20"
"57040013","Southwest Wall",NULL,NULL
"57040014","WP050201","16 28.74","-85 55.29"
"57040015","WP050202","16 29.44","-85 54.70"
"57040016","WP050203","16 29.31","-85 54.15"
"57040017","WP050205","16 31.15","-85 51.99"
"57040018","WP050210","16 31.35","-85 50.45"
"57040019","WP050211","16 28.14","-85 49.42"
"57040020","WP050212","16 24.35","-85 52.72"
"57040021","Sandi's Reef","16 29.05","-85 55.10"
"5705","Cayos Cochinos & Cochino Grande",NULL,NULL
"57050001","Airplane Wreck","15 57.217","-86 28.453"
"57050002","Bunker Bay / Phoenix Reef","15 58.442","-86 28.974"
"57050003","Pelican Wall","15 58.35","-86 29.15"
"57050004","The Stadium","15 57.756","-86 27.618"
"57050005","NE Key Wall / Stadium Wall","15 57.717","-86 27.575"
"57050006","Charlotte's Choice","15 57.316","-86 28.251"
"57050007","Lions Head","15 58.770","-86 28.680"
"57050008","Marjories Bank",NULL,NULL
"57050009","Toon Town Too (Pelican Two)","15 58.28","-86 29.19"
"57050010","Little Coco (Dahna Bank)",NULL,NULL
"57050011","WP042701","15 58.43","-86 29.34"
"57050012","WP042702","15 58.59","-86 29.24"
"57050013","WP042710","15 56.16","-86 31.99"
"57050014","WP042711","15 56.48","-86 31.65"
"5706","Cochino Pequeno",NULL,NULL
"57060001","The Gardens",NULL,NULL
"57060002","WP050301","16 42.15","-86 09.90"
"5707","Coastal Honduras",NULL,NULL
"58","NICARAGUA",NULL,NULL
"6","GREATER ANTILLES & VIRGIN ISLANDS",,
"61","HAITI",NULL,NULL
"6101","North (Cap a Foux to Manzanillo Bay)",NULL,NULL
"61010001","Cormier Reef","19 46.96","-72 13.70"
"61010002","Caracol Wall","19 45.31","-72 00.13"
"61010003","Caracol Pass","19 44.97","-72 01.02"
"61010004","Roc Sauvage","19 46.55","-72 15.62"
"61010005","De Esse","19 47.88","-72 18.92"
"6102","Gulf (Cap a Foux to Jeremie incl Gonave Island)",NULL,NULL
"6103","South (Jeremie to Anse a Pitre)",NULL,NULL
"62","DOMINICAN REPUBLIC",NULL,NULL
"6201","North (Manzanillo Bay to Cabo Engano)",NULL,NULL
"6202","South (Cabo Engano to Pedernales not incl P/Este a",NULL,NULL
"62020001","Isla Catalina Canyon",NULL,NULL
"62020002","Catalina Wall","18 22.368","-69 00.272"
"62020003","Isla Catalina Punta Cana","18 32.36","-68 20.93"
"62020004","Coral Garden (Punta Cana Reef)","18 43.313","-68 26.547"
"62020005","La Pescera (Punta Cana Reef)",NULL,NULL
"62020006","La Marina (Punta Cana Reef)",NULL,NULL
"62020007","La Tortuga (Punta Cana Reef)",NULL,NULL
"62020008","Entrada de Las Cuevas (Punta Cana Reef)","18 32.03","-68 20.94"
"6203","Parque del Este",NULL,NULL
"62030001","El Penon","18 15.422","-68 46.868"
"62030002","Arrecife los Cocos","18 13.52","-68 46.12"
"62030003","Acantilado del Catuano","18 11.60","-68 05.37"
"62030004","Arrecife de Ruben","18 11.51","-68 47.46"
"62030005","Puerto Catuano","18 11.72","-68 46.77"
"62030006","El Toro","18 08.23","-68 46.17"
"62030007","El Faro I","18 08.28","-68 45.73"
"62030008","El Faro II","18 08.27","-68 45.85"
"62030009","Dominicus","18 20.51","-68 47.46"
"62030010","Catalina",,
"62030011","Pared de Catalina","18 22.57","-69 00.55"
"62030012","Arrecife de la Raya","18 14.12","-68 46.62"
"62030013","Acuario 1","18 15.07","-68 46.45"
"62030014","Acuario 2","18 15.05","-68 46.41"
"62030015","Acuario 3","18 15.23","-68 46.56"
"62030016","Acuario Middle","18 15.12","-68 46.51"
"62030017","Coca Wreck","18 20.32","-68 50.05"
"62030018","Pargo","18 19.42","-68 49.05"
"62030019","Dominica Nite","18 20.46","-68 49.52"
"62030020","Saona Channel","18 12.02","-68 47.22"
"62030021","Pepe's Reef","18 31.00","-68 21.40"
"62030022","El Penon 2","18 15.223","-68 46.783"
"6204","La Caleta Submarine Park",NULL,NULL
"62040001","Bajos de Afuera","18 26.44","-69 41.92"
"62040002","El Peaje","18 26.69","-69 41.60"
"62040003","Punta Picua","18 24.74","-69 40.54"
"62040004","La Bomba","18 26.19","-69 41.14"
"62040005","Hickory Wreck","18 25.63","-69 40.96"
"62040006","Los Pargos","18 25.99","-69 41.11"
"62040007","Las Golondrinas","18 26.90","-69 42.36"
"6205","Monte Cristi",NULL,NULL
"62050001","AIB1","19 54.82","-71 36.03"
"62050002","AIB2","19 54.61","-71 36.10"
"62050003","AIB7","19 53.98","-71 38.88"
"62050004","AIIBI","19 54.69","-71 35.61"
"62050005","AIIB5","19 55.22","-71 34.71"
"62050006","AIIIB1","19 55.34","-71 30.94"
"62050007","AIIIB2","19 55.55","-71 30.41"
"62050008","BIB4","19 54.90","-71 27.90"
"62050009","BIIB7","19 53.21","-71 25.23"
"62050010","BIIIB1","19 52.54","-71 23.33"
"62050011","BIIIB3A","19 52.40","-71 23.36"
"62050012","CIBI","19 51.73","-71 20.85"
"62050013","CIIBI","19 52.46","-71 18.26"
"62050014","CIIB2","19 51.79","-71 16.67"
"62050015","CIIB10","19 52.10","-71 16.32"
"62050016","CIIIB4","19 51.56","-71 15.27"
"62050017","Grand Grossier","19 55.12","-71 34.62"
"62050018","Cayo Toruru","19 49.74","-71 47.61"
"62050019","Frontera","19 42.31","-71 45.32"
"62050020","Cayo Monte Grande","19 52.93","-71 47.29"
"62050021","Cayo Monte Chico","19 51.65","-71 46.02"
"62050022","Cayo Ahogado","19 52.23","-71 40.48"
"62050023","Isla Cabra","19 53.36","-71 39.93"
"62050024","Cayo Muerto","19 51.45","-71 49.19"
"62050025","Cayo Arenas","19 52.33","-71 51.67"
"62050026","Campamento Las Ratas","19 52.46","-71 49.12"
"62050027","Cayo Las Ratas","19 52.75","-71 49.29"
"62050028","Cayo Tercero","19 53.94","-71 48.53"
"63","PUERTO RICO",NULL,NULL
"6301","North PR (Pt. Borinquen - Fajardo Beach)",NULL,NULL
"63010001","Monkey Reef, Humacao",NULL,NULL
"63010002","Bajuras Beach, Isabela",NULL,NULL
"63070001","D1","18 38.26","-67 48.40"
"63010004","Cayo Diablo West, Cayo Diablo Island","18 21.62","-65 32.02"
"63040012","Magical Mystery Tour",NULL,NULL
"63010006","Las Cuevas de Baiura, Isabela",NULL,NULL
"63010007","Quike Bravo Beach, Isabela",NULL,NULL
"63030001","Pena Blanca, Aguadilla","18 27.60","-67 10.20"
"63030002","El Natural, Aguadilla",NULL,NULL
"63030003","Crashboat Beach, Aguadilla",NULL,NULL
"6302","South/East PR (S. Fajardo Beach - Cabo Rojo Lighth",NULL,NULL
"63040013","Cayo Raton","18 19.85","-65 21.14"
"63010014","South Point of Palominitos Island","18 20.19","-65 34.00"
"63020003","The Cracks, Humacao",NULL,NULL
"63020004","The Reserve, Palmas del Mar, Humacao",NULL,NULL
"63020007","El Plato, Coffin Island, Ponce",NULL,NULL
"63020008","La Parguera - unknown location",,
"63020009","Gilligan's Trenches","17 55.8","-66 52.2"
"63030004","Bajo Gallardo, Boqueron",NULL,NULL
"6303","West PR (Cabo Rojo Lighthouse - Pt. Borinquen)",NULL,NULL
"63060001","Mujeras Wall/Norma's Garden","18 04.38","-67 56.52"
"6304","Culebra Island",NULL,NULL
"63040001","Luis Pena SW","18 17.83","-65 19.92"
"63040002","Luis Pena SW 18","18 18.321","-65 20.272"
"63040003","Melones Beach","18 18.18","-65 18.68"
"63040004","Punta Soldado (Soldier's Point)","18 16.856","-65 17.240"
"63040005","Culebrita","18 18.90","-65 13.94"
"63040006","Luis Pena E","18 18.50","-65 19.66"
"63040007","Grand Tamarindo","18 19.31","-65 19.77"
"63040008","Cable Beach","18 17.61","-65 18.00"
"63040009","Carlos Rosario","18 19.50","-65 19.92"
"63040010","Flamenco Beach","18 20.29","-65 18.90"
"63040011","Lana's Cove","18 17.967","-65 19.942"
"6305","Vieques Island",NULL,NULL
"64","US VIRGIN ISLANDS",NULL,NULL
"6401","St Croix",NULL,NULL
"64010001","Long Reef","17 45.550","-64 42.354"
"64010002","Frederiksted Pier","17 42.792","-64 50.009"
"64010003","Northstar Reef","17 46.10","-64 49.26"
"64010004","Butler Bay","17 44.982","-64 53.793"
"64010005","Salt River Canyon","17 47.027","-64 45.432"
"64010006","Buck Island","17 47.07","-64 37.41"
"64010007","Rainbow Reef",NULL,NULL
"64010008","Gentle Winds","17 47.03","-64 45.52"
"64010009","West Wall/Salt River Canyon","17 47.03","-64 45.30"
"64010010","Love Shack","17 45.847","-64 43.472"
"64010011","Pavillion","17 46.656","-64 48.663"
"64010012","Rust Op Twist","17 47.04","-64 47.19"
"64010013","Cane Bay 'Oh The Wall'","17 46.418","-64 48.820"
"64010014","Scotch Bank","17 46.122","-64 41.468"
"64010015","Eagle Ray Pass","17 45.698","-64 41.925"
"64010016","Russ' Rock/Salt River Canyon East Wall","17 47.09","-64 45.26"
"64010017","Wapa Garden","17 45.35","-64 42.39"
"64010018","Blue Hole (Chute)","17 45.584","-64 42.272"
"64010019","Cane Bay","17 46.419","-64 48.824"
"64010020","Caravelle Dock","17 44.46","-64 42.22"
"64010021","Cormorant","17 45.55","-64 43.42"
"64010022","Davis Bay","17 45.47","-64 50.06"
"64010023","Green Cay Slope","17 46.683","-64 40.362"
"64010024","Hams Bluff","17 46.17","-64 52.51"
"64010025","Harbor Entrance","17 45.37","-64 41.50"
"64010026","Jason's Anchors","17 46.57","-64 44.36"
"64010027","Jimmy's Surprise","17 46.54","-64 48.23"
"64010028","Little Cozumel","17 47.04","-64 44.41"
"64010029","Rosa Maria Wreck","17 45.08","-64 53.46"
"64010030","St.C.Wall (Pelican Cove)","17 46.13","-64 44.08"
"64010031","Sugar Mill (near Christiansted)","17 45.41","-64 43.16"
"64010032","White Horse","17 47.25","-64 45.03"
"64010033","Wrecks","17 45.02","-64 53.44"
"64010034","Paul's Anchor",NULL,NULL
"64010035","19th Hole","17 46.463","-64 41.073"
"64010036","Turner Hole","17 45.00","-64 36.10"
"6402","St Thomas",NULL,NULL
"64020001","Pinnacles at Frenchcap Cay","18 13.79","-64 51.06"
"64020002","East End Capella Point","18 16.67","-64 53.20"
"64020003","Saba Island","18 18.36","-65 00.17"
"64020004","Coki Beach","18 21.03","-64 51.94"
"64020005","Cartanza Senor Wreck (Buck Island)","18 16.59","-64 53.86"
"64020006","Calf Rock","18 18.27","-64 50.67"
"64020007","Buck Island Point","18 16.61","-64 54.00"
"64020008","Ledges of Little Saint James","18 17.82","-64 49.42"
"64020009","Cow Rock","18 18.24","-64 50.89"
"64020010","The Barges","18 18.69","-64 54.93"
"64020011","Grassy Key","18 21.42","-64 49.92"
"64020012","General Rogers Wreck","18 21.23","-64 51.40"
"64020013","Christmas Cove","18 18.55","-64 50.04"
"64020014","Dog Rock","18 17.75","-64 49.09"
"64020015","Arches and Tunnels (off Thatch Island)","18 21.70","-64 52.27"
"6403","St John","18 20.41","-64 44.56"
"64030001","Congo Cave","18 21.96","-64 48.49"
"64030002","Carval Rock","18 22.172","-64 47.640"
"64030003","Fishbowl Reef",NULL,NULL
"64030004","Trunk Bay Underwater Trail","18 21.26","-64 46.06"
"64030005","Salt Pond Bay","18 18.20","-64 42.30"
"64030006","The Caves",NULL,NULL
"64030007","Francis Bay","18 21.64","-64 44.69"
"64030008","Grass Cay","18 21.50","-64 50.17"
"64030009","Steven Cay","18 19.92","-64 48.50"
"64030010","Lavango Cay (south side bay)","18 21.612","-64 48.330"
"64030011","Mingo Cay","18 21.07","-64 49.49"
"64030012","Congo Cay","18 22.01","-64 48.49"
"64030013","Hawksnest Bay","18 21.033","-64 46.778"
"64030014","Honeymoon Bay","18 20.67","-64 47.37"
"64030015","Two Brothers","18 20.70","-64 49.05"
"64030016","Peter Bay","18 21.37","-64 45.75"
"64030017","Devers Bay","18 18.74","-64 47.04"
"64030018","Haulover Bay","18 20.87","-64 40.75"
"64030019","Cinnamon Bay","18 21.36","-64 45.16"
"64030020","Waterlemon Cay","18 21.894","-64 43.343"
"64030021","May Point (Steven Cay)","18 19.85","-64 48.48"
"64030022","Caneel Bay South","18 20.54","-64 47.30"
"64030023","Al's Cut/Jaws (Grass Cay)","18 21.55","-64 50.04"
"64030024","Lavango Cay North Bay","18 21.847","-64 48.219"
"64030025","Maple Leaf/White Point","18 18.58","-64 44.20"
"64030026","Booby Rock","18 18.101","-64 42.622"
"64030027","Brown Bay","18 21.82","-64 42.29"
"64030028","Cocolobo Cay (Fish Bay)","18 18.85","-64 47.50"
"64030029","Ed's Head",NULL,NULL
"64030030","Westin shore (Great Cruz Bay)","18 19.22","-64 47.50"
"6501","Tortola (inc. Buck Is. & Frenchmans Cay)",NULL,NULL
"65010001","Santa Monica Rock (Norman Island)","18 17.93","-64 38.07"
"65010002","Angelfish Reef (Norman Island)","18 18.58","-64 37.72"
"65010003","Blonde Rock (Salt Island)","18 23.34","-64 35.04"
"65010004","Dead Chest North (aka Coral Gardens)","18 22.05","-64 33.55"
"65010005","Rhone Reef (Salt Island)","18 22.08","-64 32.06"
"65010006","Painted Walls (Dead Chest Isle)","18 21.703","-64 33.699"
"65010007","RMS Rhone Wreck (Salt Island)","18 22.09","-64 32.07"
"65010008","Wreck Alley/Marie L (Cooper Island)","18 22.223","-64 30.638"
"65010009","Vanishing Rocks (Cooper Island)","18 22.697","-64 31.230"
"65010010","Manchioneel Bay (Cooper Island)","18 23.01","-64 30.82"
"65010011","Chikuzen","18 37.16","-64 30.94"
"41010058","Cubera Reef","25 31.60","-79 18.05"
"65010013","Brewer's Bay Pinnacles","18 26.46","-64 39.01"
"73050016","Lirero Wreck, Isala Quatre",NULL,NULL
"65010015","Twin Towers","18 27.524","-64 43.287"
"65010016","The Playground (Jost Van Dyke)","18 25.30","-64 45.12"
"65010017","Ginger Steps (Ginger Island)","18 23.02","-64 28.32"
"65010019","Alice in Wonderland (Ginger Island)","18 23.144","-64 29.214"
"65010022","Spy Glass (Norman Island)","18 19.27","-64 36.06"
"65010023","Ring Dove Rock (Water Point Cove)","18 19.424","-64 37.465"
"65010024","The Caves (Norman Island)","18 18.809","-64 37.444"
"65010025","Rainbow Canyon (Norman Island)","18 19.87","-64 37.55"
"65010026","Brown Pants (Norman Island)","18 18.947","-64 35.512"
"65010027","The Bight (Norman Island)","18 19.08","-64 36.85"
"73050015","West Cay - north /front side, The Wall","12 59.469","-61 17.368"
"65010029","Cistern Point (Cooper Island)","18 22.85","-64 31.05"
"65010030","Dry Rocks (Cooper Island)","18 23.02","-64 30.08"
"65010031","Red Bluff Point (Cooper Island)",NULL,NULL
"65010032","Carvel Rock (Cooper Island)","18 22.36","-64 29.35"
"65010033","Markoe Point (Cooper Island)","18 21.953","-64 30.060"
"65010034","Please use 65010807 - WAS Chromis Reef (Cooper Island)",,
"65010035","Marina Cay (Camanos Island)","18 27.70","-64 31.49"
"65010036","Diamond Reef (Camanos Island)","18 27.91","-64 31.58"
"65010038","Treasure Point Reef (Norman Island)","18 18.95","-64 37.50"
"65010040","The Aquarium or Nursery (Thatch Island)","18 23.10","-64 44.30"
"65010041","Alice's Back Door/Ginger Patches/Ginger's Backside (Ginger Island)","18 23.35","-64 29.15"
"65010042","Dead Chest West (Dead Chest Island)","18 21.75","-64 33.86"
"65010043","Inganess Bay Wreck, Cooper Island","18 22.254","-64 30.896"
"65010044","Thumb Rock (Cooper Island)","18 22.114","-64 30.541"
"65010045","Gunn Point","18 23.632","-64 42.408"
"73050014","Coral Gardens, Pigeon Island",NULL,NULL
"65010048","Devils Kitchen (Cooper Island)","18 22.439","-64 29.947"
"65010049","Sandy Ledges (Norman Island)","18 23.639","-64 42.403"
"65010050","Joasiaha Bay (East End)","18 26.893","-64 35.457"
"65010051","Benures Bay (Norman Island)","18 19.31","-64 36.43"
"65010100","Tabago Islands (Gt. Tabago & Little Tabago)","18 26.676","-64 49.491"
"650102","Jost Van Dyke (incl Little Jost Van Dyke, Green Ca",,
"650103","Thatch Islands (Gt. & Little Thatch)",,
"650104","Guana Island",,
"650105","Camanoe Islands (incl Gt. & Little Camanoe & Scrub",,
"41040028","Mermaid Reef (Marsh Harbor)","26 32.50","-77 03.60"
"65010502","Cam Bay (Great Camanoe Island)","18 28.29","-64 31.84"
"65010503","North Bay (Great Camanoe Island)","18 29.51","-64 31.84"
"65010600","Beef Island","18 26.750","-64 31.692"
"650107","Ginger Island",,
"650108","Cooper Island",,
"65010801","Cooper Island Beach Club Harbor","18 23.29","-64 30.88"
"650109","Salt Island",,
"650110","Peter Island (incl Deadchest Isle)",,
"65011001","Little Harbor","18 21.283","-64 35.979"
"65030306","George Dog","18 29.54","-64 27.53"
"6502","Anegada",NULL,NULL
"54020061","Fiesta Americana Hotel (shore dive)",NULL,NULL
"65020003","Horseshoe Reef","18 39.80","-64 13.89"
"6503","Virgin Gorda",NULL,NULL
"65030001","Bronco Billy's (Dog Island)",NULL,NULL
"65030002","Chimney (Great Dog Island)","18 28.956","-64 27.704"
"65030003","Gary's Grottos",NULL,NULL
"65030004","Rokus (Wreck/Horseshoe Ref/Anegada)",NULL,NULL
"65030006","Joe's Cave (Dog Island)","18 28.970","-64 28.460"
"65030007","Van Ryans Rock",NULL,NULL
"65030008","Invisibles (near Necker Island)","18 31.49","-64 20.48"
"65030009","Paramatta",NULL,NULL
"65030010","Crawl National Park",NULL,NULL
"65030011","The Baths","18 25.83","-64 26.67"
"65030012","Mountain Point","18 30.24","-64 24.99"
"65030013","The Flintstones (Dog Island)",NULL,NULL
"65030014","The Visibles / Project Ocean Survey / POS (Cockroach Island)","18 29.628","-64 27.905"
"65030015","Oil Nut Bay (N.Sound)","18 30.05","-64 19.79"
"65030100","Mosquito Island","18 30.666","-64 23.643"
"65030200","Necker Island","18 31.627","-64 21.497"
"65030300","Dog Islands off Virgin Gorda","18 29.323","-64 27.767"
"44120047","Library South",NULL,NULL
"42040121","Avalanche",NULL,NULL
"7","LESSER ANTILLES",NULL,NULL
"71","LEEWARD ISLANDS",NULL,NULL
"7101","Anguilla",NULL,NULL
"71010002","Sandy Shallow Reef","18 12.945","-63 06.895"
"71010003","Frenchmans West Reef","18 09.810","-63 10.215"
"71010004","Paintcan Reef","18 11.540","-63 09.560"
"71010005","MV Oosterdiep","18 11.520","-63 09.470"
"71010006","Diep South Reef","18 11.480","-63 09.470"
"71010007","MV Ida Maria","18 13.025","-63 08.200"
"71010008","MV Commerce","18 14.460","-63 04.660"
"71010009","Little Bay Sea Rocks","18 13.712","-63 04.139"
"71010010","Mid Prickly Pear","18 16.220","-63 06.255"
"71010011","MV Sarah","18 15.820","-63 06.315"
"71010012","West Dog Island","18 16.605","-63 16.555"
"71010013","Little Scrub Reef","18 17.805","-62 57.440"
"71010014","Sombrero Rock","18 35.045","-63 25.755"
"7102","St. Martin (F.W.I.) / St. Maarten (N.A.)",NULL,NULL
"71020001","Wreck of the Proselyte","17 59.35","-63 03.57"
"71020002","The Alleys and Cable Reef (Split Rock)","17 59.512","-63 03.590"
"71020003","Mike's Maze","17 59.37","-63 03.60"
"71020004","One Step Beyond","17 59.29","-62 59.94"
"71020005","Fish Bowl Reef","17 59.30","-63 03.10"
"71020006","Long Bay Reef",NULL,NULL
"71020007","French Reef / Frenchman's Reef","18 00.50","-63 05.48"
"71020008","Samson Reef (The Bridge)","18 01.28","-63 06.78"
"71020009","Caribe Ghost (Carib Cargo/Orange)","17 59.62","-63 04.20"
"71020010","Gregory Wreck","18 02.51","-63 08.46"
"71020011","Hens and Chickens","18 00.64","-63 00.48"
"7103","St Bartholomy",NULL,NULL
"71030001","Anse Oriental",NULL,NULL
"71030002","Colombier Bay","17 55.462","-62 52.127"
"71030003","Turtle Rock",NULL,NULL
"7104","Saba",NULL,NULL
"71040001","Tent Reef  (white)","17 37.020","-63 15.477"
"71040002","Ladder Labyrinth","17 37.56","-63 15.63"
"71040003","Diamond Reef","17 38.84","-63 15.30"
"71040004","Third Encounter (Red)","17 37.905","-63 16.482"
"71040005","Torrens Point (white)","17 38.591","-63 15.204"
"71040006","West Diamond Rock","17 39.00","-63 15.50"
"71040007","Ladder Bay / Custom House Reef","17 37.888","-63 15.534"
"71040008","Twilight Zone","17 37.91","-63 16.39"
"71040009","Tent Wall (White)","17 37.063","-63 15.548"
"71040010","Tedran Wall","17 37.24","-63 15.64"
"71040011","Hole In The Corner","17 36.060","-63 13.577"
"71040012","Green Island","17 38.98","-63 13.68"
"71040013","Shark Shoal","17 38.70","-63 15.91"
"71040014","Alcyon","17 37.71","-63 16.46"
"71040015","Mt. Michel","17 37.690","-63 16.427"
"71040016","Off Tent Point","17 37.14","-63 15.80"
"71040017","Off Fort Bay","17 36.83","-63 15.49"
"71040018","Porites","17 37.76","-63 15.53"
"71040019","Hot Springs",NULL,NULL
"71040020","Babylon","17 37.69","-63 15.57"
"71040021","Hot Springs","17 37.500","-63 15.555"
"71040022","Saba Bank 1","17 27.78","-63 13.36"
"71040023","Saba Bank 2","17 29.21","-63 13.90"
"71040024","Saba Bank 3","17 27.27","-63 13.94"
"71040025","Core Gut","17 37.85","-63 12.90"
"7105","St Eustatius",NULL,NULL
"71050001","Caroline's Reef",NULL,NULL
"71050002","False Shoal",NULL,NULL
"71050003","Anchor Reef","17 27.746","-62 59.129"
"71050004","Dropoff / Dropoff East","17 27.648","-62 58.438"
"71050005","Barracuda Reef","17 28.008","-62 59.473"
"71050006","Outer Crooks Reef",NULL,NULL
"71050007","City Wall",NULL,NULL
"71050008","Stingray Wreck",NULL,NULL
"71050009","Double Wreck","17 28.799","-62 59.662"
"71050010","Supermarket",NULL,NULL
"71050011","Tommy's Temptation",NULL,NULL
"71050012","North Point",NULL,NULL
"71050013","Darlene Bay",NULL,NULL
"71050014","Inner Crooks",NULL,NULL
"71050015","Corre Corre Bay",NULL,NULL
"71050016","Wreck City","17 29.06","-62 59.87"
"71050017","The Humps","17 27.808","-62 58.694"
"71050018","Ledges","17 27.797","-62 59.090"
"71050019","Doobie's Crack","17 30.639","-63 00.507"
"71050021","Five Fingers / Five Fingers North","17 27.893","-62 59.007"
"71050022","The Blocks","17 27.847","-62 59.112"
"71050023","Valley of the Sponges / Five Fingers South","17 27.835","-62 58.938"
"71050024","Hangover","17 27.877","-62 59.160"
"71050025","Mushroom Gardens","17 27.763","-62 58.675"
"7106","St Kitts",NULL,NULL
"71060001","Turtle Bar Reef (use 71060033 instead)",NULL,NULL
"71060002","Nags Head Reef (NW)","17 12.994","-62 39.657"
"71060003","Talata Wreck","17 16.89","-62 43.84"
"71060004","Sandy Point","17 22.44","-62 52.16"
"71060005","Green Point","17 13.622","-62 39.829"
"71060006","Gridlron",NULL,NULL
"71060007","Turtle Beach",NULL,NULL
"71060008","White House Bay",NULL,NULL
"71060009","Sand Bank Bay",NULL,NULL
"71060010","Cockelshell and Banana Bays",NULL,NULL
"71060011","Timothy Beach",NULL,NULL
"71060012","Bird Rock Hotel Beach / Jetty","17 17.072","-62 42.342"
"71060013","Bloody Point/Shoreline Rocks",NULL,NULL
"71060014","Friar's Bay Reef",NULL,NULL
"71060015","Paradise Reef","17 18.713","-62 47.895"
"71060016","Shitten Bay (generic location)","17 13.291","-62 39.753"
"71060017","River Taw Wreck","17 16.65","-62 41.92"
"71060018","Anchors Aweigh / Anchors Away","17 21.33","-62 51.31"
"71060019","Vet School Reef","17 17.460","-62 45.710"
"71060020","Old Road Reef","17 18.76","-62 47.87"
"71060021","Wreck of the Ferry Christena","17 12.630","-62 40.198"
"71060022","Fool Reef","17 20.19","-62 50.22"
"71060023","Tug Boat","17 16.04","-62 41.49"
"71060024","Coconut Reef","17 15.76","-62 43.24"
"71070021","Monkey Shoals Unspecified Site Name","17 11.00","-62 41.00"
"71060026","Ballast Bay / Bedroom Bay","17 13.987","-62 39.767"
"71060027","Twin Bowls",NULL,NULL
"71060028","Brimstone Hill / Brimstone Shallows","17 15.54","-62 43.39"
"7107","Nevis",NULL,NULL
"71070001","Monkey Reef (Monkey Shoals)","17 11.133","-62 40.833"
"71070002","Coral Gardens","17 09.251","-062 39.065"
"71070003","Lobster Walk",NULL,NULL
"71070004","The Caves",NULL,NULL
"71070005","Redonda Reef",NULL,NULL
"71070006","The White Holes","17 11.025","-62 40.592"
"71070007","Long Hall Bay",NULL,NULL
"71070008","Booby Island","17 12.89","-62 43.84"
"71070009","Cow Rocks",NULL,NULL
"7108","Barbuda",NULL,NULL
"71080001","Goat Reef",NULL,NULL
"71080002","Cobb Reef",NULL,NULL
"71080003","Palaster Reef Marine Park",NULL,NULL
"7109","Antigua",NULL,NULL
"71090002","Cades Reef (general)","17 00.454","-61 52.415"
"71090003","Monkshead",NULL,NULL
"71090004","Wreck of the Andes (Deep Bay)","17 07.599","-61 53.411"
"71090005","Sunken Rock","17 00.024","-61 44.272"
"71090006","Diamond Reef Marine Reserve","17 11.590","-61 51.659"
"71090007","Wreck of the Jettias (Dickenson Bay)",NULL,NULL
"71090008","Soft Willies",NULL,NULL
"7110","Montserrat",NULL,NULL
"7111","Guadaloupe",NULL,NULL
"71110001","North East Reef",NULL,NULL
"71110002","North Side Reef",NULL,NULL
"71110003","West Side Reef",NULL,NULL
"71110004","Rock Canyons",NULL,NULL
"71110005","West Side Snorkeling Reef",NULL,NULL
"7112","Dominica",NULL,NULL
"71120001","Soufriere Pinnacle","15 13.95","-61 21.91"
"71120002","Coral Gardens","15 14.290","-61 22.259"
"71120003","Scott's Head Pinnacle","15 12.944","-61 22.627"
"71120004","Scott's Head Drop Off","15 12.90","-61 22.30"
"71120005","Champagne Reef","15 14.741","-61 22.387"
"71120006","Canefield Tug (Fond Cole')","15 19.238","-61 23.671"
"71120007","Canefield Barge",NULL,NULL
"71120008","Pointe Guignard Caves","15 14.44","-61 23.36"
"71120009","Danglebens North","15 14.277","-61 22. 310"
"71120010","Castle Comfort Lodge","15 16.80","-61 23.10"
"71120082","Coral Gardens North",NULL,NULL
